site_id,bc_wfs0,bc_wfs0_sd,bc_wfs0_n,bc_wfs1,bc_wfs1_sd,bc_wfs1_only,bc_wfs1_only_n,distance_cat,length_cat,aadt_cat,bc_n,bc_diff,bc_pct_diff
1,0.9661504820499923,0.11767377718577193,6,1.079895946222032,0.1819938350224913,1.21639050322848,5,1,1,1,11,0.11374546417203979,10.533002236925995
2,1.933416069690006,0.1967773170526436,5,1.9222836858604277,0.20794387384112273,1.908368206073455,4,4,4,4,9,-0.011132383829578263,-0.579122837667705
4,1.0428801635799525,0.14804580829884273,6,1.139004825944704,0.1975221399667076,1.254354420782406,5,1,3,3,11,0.09612466236475159,8.439355143646969
7,0.9130364247400924,0.05063255767913978,5,1.0246591340512066,0.15087739596945737,1.1362818433623207,5,3,1,1,10,0.11162270931111418,10.893643124986374
8,0.9610539845616224,0.24421687709279913,6,1.0227984781628359,0.19546947030937342,1.0845429717640496,6,3,2,2,12,0.06174449360121348,6.03681907232789
11,1.0256013464607716,0.1376083199936636,6,1.096643865866997,0.15601117898263217,1.203207644976335,4,4,3,4,10,0.07104251940622541,6.478175971016792
12,1.1180575197061766,0.2701255797455857,10,1.114290922160823,0.23334400112062043,1.1048744282974394,4,1,1,1,14,-0.0037665975453535783,-0.33802640499389747
14,0.8968949348253215,0.05731477516719729,2,0.9599059032259416,0.12543402427186923,1.0019132154930217,3,4,3,3,5,0.06301096840062015,6.564285956452618
15,1.3462657227871875,0.3245121043730656,11,1.295612765622906,0.28634736780067976,1.184176259861486,5,4,4,3,16,-0.05065295716428153,-3.9095753382708107
16,1.7115581994497566,0.1023709935050924,6,1.782652220921552,0.1461934701780992,1.889293253129245,4,4,4,4,10,0.07109402147179544,3.9881038285214707
18,0.8775154056819245,0.07443603139761505,5,0.9252359756529503,0.10509520759415476,0.9848866881167325,4,1,2,3,9,0.047720569971025806,5.157664771665284
19,1.2933948951902359,0.30164607490287404,12,1.2813551316922889,0.26646559933773206,1.252459699297216,5,3,4,4,17,-0.012039763497946998,-0.9396117594695277
22,0.9703743701805548,0.16630263920557023,6,1.1347151714883559,0.28270746244561573,1.3812263734500574,4,2,1,1,10,0.16434080130780104,14.483000266246767
23,1.2635559764940345,0.30807128885781754,9,1.2757946796309447,0.2562774299107391,1.29415273433631,6,3,4,4,15,0.012238703136910223,0.9593003742930305
25,0.9293201947232559,0.16234968946904027,7,1.0517897148653534,0.21665600531132168,1.2232470430642899,5,2,3,2,12,0.12246952014209755,11.643916879124044
26,1.2814627846902316,0.275133377227979,9,1.3006277297706124,0.23659488074087853,1.3293751473911835,6,2,1,1,15,0.019164945080380802,1.473515029835698
28,0.9428890430230948,0.036904068210014594,7,0.9758638041637697,0.08781566742119884,1.0220284697607145,5,2,3,2,12,0.03297476114067488,3.3790331191688554
29,1.1001214209285641,0.25082611413960715,8,1.047596074821864,0.20482809155438483,0.9775622800129304,6,1,1,1,14,-0.05252534610670012,-5.013892985006809
32,1.0220287680576003,0.23096662689886616,8,1.0126152665627497,0.1870894644932874,0.997553664170989,5,3,1,1,13,-0.009413501494850651,-0.929622711180734
